model: FaultSeg3dPlus
shape                             voxels                 GPU              time                  GPU2                  time2
[448, 448, 448],             89915392                    25.07           1.8597                 25.07                 1.8059                 18.61               2.7646                  -1                    -1
[448, 448, 512],             102760448                   28.48           2.1507                 28.48                 2.0389                 21.06               2.8521                  -1                    -1
[448, 512, 512],             117440512                   32.37           2.5003                 32.37                 2.2363                 23.87               3.1018                  -1                    -1
[512, 512, 512],             134217728                                                          24.82                 14.8763                27.07               3.5086                  11.07                 7.7509
[512, 512, 576],             150994944                                                          27.77                 16.4987                30.49               4.0457                  12.49                 8.7440
[512, 576, 576],             169869312                                                          31.10                 18.7946                32.15               4.4463                  11.90                 9.9046
[576, 576, 576],             191102976                                                          34.84                 21.7761                36.27               5.0903                  13.49                 11.3707
[576, 576, 640],             212336640                                                          38.57                 23.8463                39.24               5.4944                  13.93                 12.5536
[576, 640, 640],             235929600                                                          42.72                 26.5231                41.44               6.1400                  13.31                 13.7477
[640, 640, 640],             262144000                                                          47.34                 29.1782                46.19               6.6555                  14.94                 15.1867
[640, 640, 704],             288358400                                                          51.95                 31.9642                49.86               7.3660                  15.48                 16.8888
[640, 704, 704],             317194240                                                          57.03                 35.1927                52.79               8.3072                  14.98                 18.2124
[704, 704, 704],             348913664                                                          60.99                 64.3038                57.22               8.9780                  15.63                 19.9136
[704, 704, 768],             380633088                                                          66.42                 71.5807                59.70               9.4843                  14.33                 21.6111
[704, 768, 768],             415236096                                                          72.35                 78.0064                62.15               10.2539                  -1                    -1
[768, 768, 768],             452984832                                                          78.82                 85.0584                71.76               11.1957                 17.76                 25.5283
[768, 768, 832],             490733568                                                          85.29                 90.5454                72.69               12.1030                  -1                    -1
[768, 832, 832],             531628032                                                          92.30                 98.0122                78.41               13.5846                  -1                    -1
[832, 832, 832],             575930368                                                          92.91                 117.2565               86.75               14.1550                 18.09                 33.0089
[832, 832, 896],             620232704                                                                                                       91.39               15.1783                  -1                    -1
[832, 896, 896],             667942912                                                                                                       84.55               16.4335                  -1                    -1
[896, 896, 896],             719323136                                                                                                       90.96               17.7749                 21.91                 40.9688
[896, 896, 960],             770703360                                                                                                                                                   -1                    -1
[896, 960, 960],             825753600                                                                                                                                                   -1                    -1
[960, 960, 960],             884736000                                                                                                                                                   26.04                 49.7839
[960, 960, 1024],            943718400                                                                                                                                                   -1                    -1
[960, 1024, 1024],           1006632960                                                                                                                                                  -1                    -1
[1024, 1024, 1024],          1073741824                                                                                                                                                  28.19                 60.7920
[1024, 1024, 1088],          1140850688                                                                                                                                                  -1                    -1
[1024, 1088, 1088],          1212153856                                                                                                                                                  -1                    -1
[1088, 1088, 1088],          1287913472                                                                                                                                                  33.38                 74.3082
[1088, 1088, 1152],          1363673088                                                         
[1088, 1152, 1152],          1443889152                                                          
[1152, 1152, 1152],          1528823808                  
[1152, 1152, 1216],          1613758464                  
[1152, 1216, 1216],          1703411712                  
[1216, 1216, 1216],          1798045696                  
[1216, 1216, 1280],          1892679680                  
[1216, 1280, 1280],          1992294400                  
[1280, 1280, 1280],          2097152000                  
[1280, 1280, 1344],          2202009600                  
[1280, 1344, 1344],          2312110080                                                         
[1344, 1344, 1344],          2427715584                                                         
[1344, 1344, 1408],          2543321088                                                         
[1344, 1408, 1408],          2664431616                                                         
[1408, 1408, 1408],          2791309312                                                         
[1408, 1408, 1472],          2918187008                                                         
[1408, 1472, 1472],          3050831872                                                         
[1472, 1472, 1472],          3189506048                                                         
[1472, 1472, 1532],          3319513088                                                         
[1472, 1532, 1532],          3454819328
[1532, 1532, 1532],          3595640768
[1532, 1532, 1600],          3755238400
[1532, 1600, 1600],          3921920000
[1600, 1600, 1600],          4096000000





model: gem-base64
